DATE,Cocoa,Sugar,Arabica Coffee
3/1/2006,1545.051276,17.08217391,112.2034783
4/1/2006,1552.340948,17.46263158,114.7088235
5/1/2006,1594.296279,16.90045455,107.9636364
6/1/2006,1605.780389,15.68909091,101.2072727
7/1/2006,1673.206545,15.857,102.7715
8/1/2006,1612.94257,12.97956522,112.1278261
9/1/2006,1566.336072,12.3135,109.358
10/1/2006,1530.171,11.50909091,110.9127273
11/1/2006,1582.541812,11.732,123.5705
12/1/2006,1702.156248,11.6965,129.95
1/1/2007,1701.928111,10.9035,124.4645
2/1/2007,1811.152048,10.57157895,122.3447368
3/1/2007,1924.202511,10.36681818,116.6145
4/1/2007,2034.254295,9.594,114.5895
5/1/2007,2011.129609,9.086363636,112.52
6/1/2007,2013.042175,9.26047619,118.6705
7/1/2007,2151.665852,9.895714286,116.8009524
8/1/2007,1902.091892,9.613043478,123.6272727
9/1/2007,1944.007428,9.851052632,128.0352632
10/1/2007,1916.669951,9.994782609,134.57
11/1/2007,1967.308751,9.896,130.3321053
12/1/2007,2119.878967,10.44631579,136.4723077
1/1/2008,2216.380889,11.65952381,139.0535
2/1/2008,2522.828981,13.6075,158.2095
3/1/2008,2647.641655,12.8765,148.065
4/1/2008,2631.225933,12.52272727,137.7352381
5/1/2008,2693.407462,10.9347619,139.7371429
6/1/2008,3021.756667,12.0652381,144.079
7/1/2008,2953.671564,13.20772727,145.3527273
8/1/2008,2796.797261,13.68142857,145.7657895
9/1/2008,2672.052452,14.02047619,140.5572727
10/1/2008,2251.228233,11.70217391,121.4072727
11/1/2008,2046.076009,11.82842105,120.4370588
12/1/2008,2420.039863,11.32,116.97125
1/1/2009,2608.892228,12.244,128.0278947
2/1/2009,2660.466212,13.31210526,128.5094118
3/1/2009,2493.983418,12.92818182,127.7640909
4/1/2009,2541.701963,13.46952381,134.5795238
5/1/2009,2554.601344,15.466,147.6405263
6/1/2009,2699.611627,16.57590909,144.4552381
7/1/2009,2805.484593,17.80454545,137.5955
8/1/2009,2956.663667,21.72,146.8657143
9/1/2009,3149.512073,23.45142857,145.6685714
10/1/2009,3372.503397,23.16090909,151.9495455
11/1/2009,3379.333892,22.769,150.2278947
12/1/2009,3517.543642,24.90272727,155.8614286
